text,token,emoji,sentiment
"Our CEO @RamneekHH live with @SASCO_Jikelele WSU talking about, “The effects of Covid-19 on students”.… https://t.co/VMN2LxHAds","our ceo @ramneekhh live with @sasco_jikelele wsu talking about, “the effects of covid-19 on students”.… ",FALSE,Neutral
@NicoleKowalski5 @chrisdameanor19 I'm feeling a little anxious because #COVID19 seems to have detracted everyone's… https://t.co/A3mHdXamLg,@nicolekowalski5 @chrisdameanor19 i'm feeling a little anxious because #covid19 seems to have detracted everyone's… ,FALSE,Negative
Actionables for a healthy recovery from #COVID19 #climate  https://t.co/crGlKZOz5Z,actionables for a healthy recovery from #covid19 #climate  ,FALSE,Positive
"@jfoster2019 @bbclaurak Well #BorisJohnson might have understood more if he hadn't missed #5COBRA meeting #Five 
In… https://t.co/mQPAgCYGn2",@jfoster2019 @bbclaurak well #borisjohnson might have understood more if he hadn't missed #5cobra meeting #five  in… ,FALSE,Positive
"We released two new #COVID19 podcast episodes this week:
-Technology Platforms Used to Conduct Telehealth Visits
-C… https://t.co/G94VeYVCzk",we released two new #covid19 podcast episodes this week: -technology platforms used to conduct telehealth visits -c… ,FALSE,Neutral
"#PlayYourPart in the fight against #COVID19 . Each one of us can make a difference in containing the spread, lets… https://t.co/fRzLgrS8Qf","#playyourpart in the fight against #covid19 . each one of us can make a difference in containing the spread, lets… ",FALSE,Negative
"Britain didn't understand #Covid19 for months, while plenty of other countries did understand it and took effective… https://t.co/KV2CAQ6skZ","britain didn't understand #covid19 for months, while plenty of other countries did understand it and took effective… ",FALSE,Neutral
Volume for those at the back please. 🔊 #COVID19 https://t.co/d0pn2Bv2Hx,volume for those at the back please. 🔊 #covid19 ,TRUE,Positive
"#Delhi reports 1,142 #COVID19 positive cases and 29 deaths on Saturday. Death toll rises to 3,806, reports ANI quot… https://t.co/JxsVpWMRQS","#delhi reports 1,142 #covid19 positive cases and 29 deaths on saturday. death toll rises to 3,806, reports ani quot… ",FALSE,Negative
"@realDonaldTrump Venezuela's Economy/Budget are tied to Oil like Louisiana's. Funny how the right-wing ""example"" of… https://t.co/qvHvKlTbbv","@realdonaldtrump venezuela's economy/budget are tied to oil like louisiana's. funny how the right-wing ""example"" of… ",FALSE,Positive
"#TamilNadu | #COVID19 |  25th July

●  TN - 6,988 (Highest Spike)

●  Total Cases  - 2,06,737

●  Chennai - 1,329… https://t.co/X8zgUzC0Gr","#tamilnadu | #covid19 |  25th july  ●  tn - 6,988 (highest spike)  ●  total cases  - 2,06,737  ●  chennai - 1,329… ",FALSE,Neutral
"Why has Ruto not eulogisied Mkapa!! 
Asking for Moses Kuria 

Raila 
#RutoSwindlingGEMA 
#COVID19",why has ruto not eulogisied mkapa!!  asking for moses kuria   raila  #rutoswindlinggema  #covid19,FALSE,Neutral
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/0MCEUERQ74","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/AkxvIaD1Pr","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
"#TamilNadu | #COVID19 |  25th July
●  TN - 6,988 (Highest Spike)
●  Total Cases  - 2,06,737
●  Chennai - 1,329
●  T… https://t.co/ZWFKJwZdEo","#tamilnadu | #covid19 |  25th july ●  tn - 6,988 (highest spike) ●  total cases  - 2,06,737 ●  chennai - 1,329 ●  t… ",FALSE,Neutral
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/Ifse0whbVE","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/dx8Yt7CvsM","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/h7p44XIzuk","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
"Testing per 10 lakh population in Jammu and Kashmir has reached 44,744 as against 12,742 in the country; Recovery r… https://t.co/jmxhF67V5V","testing per 10 lakh population in jammu and kashmir has reached 44,744 as against 12,742 in the country; recovery r… ",FALSE,Positive
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx","coronavirus testing fiasco: st mirren have pledged to undertake an ""urgent review"" of their covid-19 testing proced… ",FALSE,Negative
.@nytimes reporting that yesterday 1145 people died of #COVID19 in the USA. Over 73K new cases were reported. Serio… https://t.co/sFwP0v7FEB,.@nytimes reporting that yesterday 1145 people died of #covid19 in the usa. over 73k new cases were reported. serio… ,FALSE,Negative
Crazy that the world has come to this but as Americans we will fight to get through this!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #covid19,crazy that the world has come to this but as americans we will fight to get through this!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #covid19,TRUE,Negative
@jimsciutto @JoAnnBaldwin55 People whose relatives have died from #COVID19 should file a class action lawsuit against Sinclair Broadcasting.,@jimsciutto @joannbaldwin55 people whose relatives have died from #covid19 should file a class action lawsuit against sinclair broadcasting.,FALSE,Negative
"US #CoronaVirus: 4,249,584 cases and 148,521 deaths reported in the United States to date.

1,257 new cases and 31… https://t.co/j4TreMnKW5","us #coronavirus: 4,249,584 cases and 148,521 deaths reported in the united states to date.  1,257 new cases and 31… ",FALSE,Positive
"#IndiaFightsCorona :

📍 Do you agree that a mask is one of the most powerful accessories we have to fight against t… https://t.co/5VauORkmjG",#indiafightscorona :  📍 do you agree that a mask is one of the most powerful accessories we have to fight against t… ,TRUE,Negative
I miss isopropyl alcohol so much!!!! Ethanol in hand sanitizer smells like I poured tequila on my hands 🤢 #COVID19,i miss isopropyl alcohol so much!!!! ethanol in hand sanitizer smells like i poured tequila on my hands 🤢 #covid19,TRUE,Negative
GVMC sanitation staff carrying out the regular sanitation activities to keep the city clean and prevent the spread… https://t.co/bkrQ5x6BCK,gvmc sanitation staff carrying out the regular sanitation activities to keep the city clean and prevent the spread… ,FALSE,Positive
@SonuSood sir mom is in ICU due to COVID just want prayers from you and everyone who is listening you . #COVID19,@sonusood sir mom is in icu due to covid just want prayers from you and everyone who is listening you . #covid19,FALSE,Positive
Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through Cas… https://t.co/3MkuUsGBDk,due to #covid19 aka #coronavirus ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through cas… ,FALSE,Negative
"This video had me in stitches
https://t.co/tadF3G6qKJ #obesity #زواج_راكان_الحربي #carryminati #my200vsbutch200… https://t.co/fsZ8NTuVDg",this video had me in stitches  #obesity #زواج_راكان_الحربي #carryminati #my200vsbutch200… ,FALSE,Neutral
"See this Instagram post by @facts.covid19 https://t.co/glmd51L1OJ 
facts.covid19 Deaths rates not rising in lockste… https://t.co/SeZieeSxAk",see this instagram post by @facts.covid19   facts.covid19 deaths rates not rising in lockste… ,FALSE,Neutral
"Local government sales tax revenue dropped 27 percent year-to-year in the second quarter, thanks to #COVID19 shutdo… https://t.co/oDky9LzrV5","local government sales tax revenue dropped 27 percent year-to-year in the second quarter, thanks to #covid19 shutdo… ",FALSE,Positive
Look at Lil’ Donny Micro Dick go!! What an astounding achievement of brilliance + cognitive capabilities. Somebody… https://t.co/82aEo6gL3q,look at lil’ donny micro dick go!! what an astounding achievement of brilliance + cognitive capabilities. somebody… ,FALSE,Negative
"While you at it, please follow me

https://t.co/KheirQEh6Z

#Fergusons #DurbanJuly #alreadyvideo #COVID19 #WiseUp https://t.co/h1TYdOgjwv","while you at it, please follow me    #fergusons #durbanjuly #alreadyvideo #covid19 #wiseup ",FALSE,Positive
"Concealed Nation 1 Million Giveaway https://t.co/HaMym0cBe3 
I put my family's safety before all others, criminals… https://t.co/7QQxVLWqZd","concealed nation 1 million giveaway   i put my family's safety before all others, criminals… ",FALSE,Positive
Check out Angel's beautiful mask and hair bow designs at https://t.co/BpmP8tRs7M #etsy #epiconetsy #masksforsale… https://t.co/fgl69zjMyq,check out angel's beautiful mask and hair bow designs at  #etsy #epiconetsy #masksforsale… ,FALSE,Positive
"Thread by @DrZoeHyde (based on international research and evidence) 1. Updated thread on children and #COVID19, sum… https://t.co/A1xWVotp75","thread by @drzoehyde (based on international research and evidence) 1. updated thread on children and #covid19, sum… ",FALSE,Neutral
"1 municipality reports one new fatality due to #COVID19, compared to yesterday.

1 new fatality is located and 0 fa… https://t.co/6iJ5lV7ZqR","1 municipality reports one new fatality due to #covid19, compared to yesterday.  1 new fatality is located and 0 fa… ",FALSE,Negative
"When your home walls need an upgradation, always opt for the experts. Hire #MumbaiPainters and let your walls find… https://t.co/Kb5Yv2ZS9Z","when your home walls need an upgradation, always opt for the experts. hire #mumbaipainters and let your walls find… ",FALSE,Neutral
"Covid to shrink power sector growth, take discoms back to pre-UDAY era

https://t.co/DP5zpNLuUV

#Industry… https://t.co/3ZiFoPdWU8","covid to shrink power sector growth, take discoms back to pre-uday era    #industry… ",FALSE,Positive
"#SaturdayVibes: The current situation calls for more awareness and less stress. To facilitate that, families at our… https://t.co/1Qwd523BZp","#saturdayvibes: the current situation calls for more awareness and less stress. to facilitate that, families at our… ",FALSE,Negative
What economic measures are governments taking to respond to #COVID19? Key actions taken by 193 countries are listed… https://t.co/5FXaZWFaLW,what economic measures are governments taking to respond to #covid19? key actions taken by 193 countries are listed… ,FALSE,Neutral
"“#Covid19 is everyone’s fight. I have covered major disasters, but nothing like this before."" 

@fabeha_monir, a vi… https://t.co/q3f9kP8rsq","“#covid19 is everyone’s fight. i have covered major disasters, but nothing like this before.""   @fabeha_monir, a vi… ",FALSE,Negative
"@Haggis_UK “I think the government has hugely overestimated the danger of the disease”
I wonder if he’d be brave en… https://t.co/gWJc6nUKqo",@haggis_uk “i think the government has hugely overestimated the danger of the disease” i wonder if he’d be brave en… ,FALSE,Negative
"By the time you see a spike in #Covid19 cases, it isvery hard to reverse it without drastic lockdown. By the time y… https://t.co/A3S4AK3JH4","by the time you see a spike in #covid19 cases, it isvery hard to reverse it without drastic lockdown. by the time y… ",FALSE,Negative
@realDonaldTrump @WhiteHouse See what your #political games with #Covid19 have achieved? This is not only shameful… https://t.co/JXvuzUqwfC,@realdonaldtrump @whitehouse see what your #political games with #covid19 have achieved? this is not only shameful… ,FALSE,Neutral
Hi long time no see...... In preparation for us reopening we have been doing our homework and some...... #clean… https://t.co/GjEe5w9uY2,hi long time no see...... in preparation for us reopening we have been doing our homework and some...... #clean… ,FALSE,Negative
@theJagmeetSingh @MatthewGreenNDP you took money at the beginning of the pandemic from woman front line workers who… https://t.co/NXYIA38Rj6,@thejagmeetsingh @matthewgreenndp you took money at the beginning of the pandemic from woman front line workers who… ,FALSE,Neutral
"How Ireland built its COVID-19 contract tracing app, which is so successful that U, S. states want to use it… https://t.co/f0DavA6psh","how ireland built its covid-19 contract tracing app, which is so successful that u, s. states want to use it… ",FALSE,Positive
"Rakesh Sharma best business Coach in India
Website: https://t.co/oG44LxC2Gg
#salescoach
#BusinessCoach 
#salesforce… https://t.co/GkipPLJMX9",rakesh sharma best business coach in india website:  #salescoach #businesscoach  #salesforce… ,FALSE,Positive
"Think the link between 5G and #COVID19 is the stuff of loony conspiracy-theories?
Think again: this screen-shot is… https://t.co/UFXNtHGa7L",think the link between 5g and #covid19 is the stuff of loony conspiracy-theories? think again: this screen-shot is… ,FALSE,Neutral
"#NSTworld There will not be a #NationalDayRally (#NDR) this year, due to safe distancing requirements as a result o… https://t.co/XJMZjyPCrn","#nstworld there will not be a #nationaldayrally (#ndr) this year, due to safe distancing requirements as a result o… ",FALSE,Positive
The cost of preventing further pandemics over the next decade by protecting wildlife and forests would equate to ju… https://t.co/8yqpH3GrLf,the cost of preventing further pandemics over the next decade by protecting wildlife and forests would equate to ju… ,FALSE,Negative
"Learn new things during this period 
2d and 3d animations training ongoing...
Click the link below to join the What… https://t.co/lLovm5cWPi",learn new things during this period  2d and 3d animations training ongoing... click the link below to join the what… ,FALSE,Positive
"2,000 women lawyers write to #AmitShah seeking 5 Lakh Loan per financially drained lawyer.
#COVID19 #Coronavirus 
https://t.co/JEjVTeCjEn","2,000 women lawyers write to #amitshah seeking 5 lakh loan per financially drained lawyer. #covid19 #coronavirus  ",FALSE,Negative
I literally am using my own head to make decisions on safety from #COVID19 as government are creating the most conf… https://t.co/Kji4e3yBty,i literally am using my own head to make decisions on safety from #covid19 as government are creating the most conf… ,FALSE,Positive
OK I'm angry now. I cannot believe the stupidity there is out there about #COVID19. This virus kills. How many must… https://t.co/kNBiYfPTXB,ok i'm angry now. i cannot believe the stupidity there is out there about #covid19. this virus kills. how many must… ,FALSE,Negative
"#DurbanJuly  It's that weekend Y,all... It's a pity that this year we are facing #COVID19 and we can't go in person… https://t.co/k451xx2Ynv","#durbanjuly  it's that weekend y,all... it's a pity that this year we are facing #covid19 and we can't go in person… ",FALSE,Negative
Let's give it a try #alreadyvideo #COVID19 #HurricaneHanna https://t.co/2HChuAfNHy,let's give it a try #alreadyvideo #covid19 #hurricanehanna ,FALSE,Neutral
Shout out to Earth. Hands down the worst reaction to a “emergency” I’ve ever seen. The Lottery never shut down and… https://t.co/wLGZ8wHymT,shout out to earth. hands down the worst reaction to a “emergency” i’ve ever seen. the lottery never shut down and… ,FALSE,Negative
"#TamilNadu | #COVID19 |  25th July

●  TN - 6,988 (Highest Spike)

●  Total Cases  - 2,06,737

●  Chennai - 1,329… https://t.co/BFYb3AHGBi","#tamilnadu | #covid19 |  25th july  ●  tn - 6,988 (highest spike)  ●  total cases  - 2,06,737  ●  chennai - 1,329… ",FALSE,Neutral
"@WLOS_13 @wcti12 @thecw22 @myrdc @ABC45TV Please tell us you not going to run that Qanon conspiracy
theory (banned… https://t.co/bYOIITE5kh",@wlos_13 @wcti12 @thecw22 @myrdc @abc45tv please tell us you not going to run that qanon conspiracy theory (banned… ,FALSE,Negative
You can all #PlayYourPart in the fight against #Covid19.  We’re all #InThisTogether. Cavan Ladies Footballer Aishli… https://t.co/JtU6MDq2tl,you can all #playyourpart in the fight against #covid19.  we’re all #inthistogether. cavan ladies footballer aishli… ,FALSE,Negative
The Egyptians ain't got shit on this. #COVID19 https://t.co/kl5lzOJaxO,the egyptians ain't got shit on this. #covid19 ,FALSE,Positive
"Voices from the Belt and Road: COVID-19 rap song alerts to needed precautions when returning to work
#beltandroad… https://t.co/O39NmfUDmc",voices from the belt and road: covid-19 rap song alerts to needed precautions when returning to work #beltandroad… ,FALSE,Neutral
"PR :  @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..

While #Vishal 's… https://t.co/CSXEqIWtig",pr :  @vishalkofficial and his father mr.g.k.reddy tested positive for #covid19 15/20 days back..  while #vishal 's… ,FALSE,Positive
"Not only is the area about to be hit by #hanna a #COVID19 hotspot, but Hurricane Harvey work is ongoing. Still.","not only is the area about to be hit by #hanna a #covid19 hotspot, but hurricane harvey work is ongoing. still.",FALSE,Neutral
"1.28% of the U.S. population is infected with Covid-19 
#COVID19 
#TrumpVirus 
#MaskItOrCasket",1.28% of the u.s. population is infected with covid-19  #covid19  #trumpvirus  #maskitorcasket,FALSE,Negative
My latest on #FoxNews - #COVID19 keeps Wish Children waiting as #WaltDisneyWorld re-opens. @GKTWVillage unable to b… https://t.co/jXCXwifFTb,my latest on #foxnews - #covid19 keeps wish children waiting as #waltdisneyworld re-opens. @gktwvillage unable to b… ,FALSE,Positive
@Prof_Wombat @vickihickory @ROhsolovely @realDonaldTrump Imagine thinking your toddler-in-chief didn't ignore it ja… https://t.co/MtM8ESVchV,@prof_wombat @vickihickory @rohsolovely @realdonaldtrump imagine thinking your toddler-in-chief didn't ignore it ja… ,FALSE,Positive
.@headout with a dashboard to boost post-#COVID19 #travel https://t.co/0gnRgqvLlh,.@headout with a dashboard to boost post-#covid19 #travel ,FALSE,Positive
"#coronavirus #COVID19 disproportionately affecting communities of color, especially #Hispanic #Latinx ones in my ho… https://t.co/01gV4rcK1u","#coronavirus #covid19 disproportionately affecting communities of color, especially #hispanic #latinx ones in my ho… ",FALSE,Neutral
"As debates ensue about reopening schools 🏫 amid #COVID19, @WomenDeliver Young Leader @olorunisola8 of #Nigeria says… https://t.co/EGkaAKXGym","as debates ensue about reopening schools 🏫 amid #covid19, @womendeliver young leader @olorunisola8 of #nigeria says… ",TRUE,Neutral
"Companies must protect their workforce’s physical and mental health during the crisis. The use of smart technology,… https://t.co/uExGQbwx1I","companies must protect their workforce’s physical and mental health during the crisis. the use of smart technology,… ",FALSE,Negative
"Today's cases:  92
Total cases: 4102
Today's sample: 602
Today's cured: 45
Total cured: 3233
Today's death: 2
Total… https://t.co/tmrdKOWoma",today's cases:  92 total cases: 4102 today's sample: 602 today's cured: 45 total cured: 3233 today's death: 2 total… ,FALSE,Negative
"#DrKawana, Minister of Fisheries and Marine Resources, what’s the hold up now? Please release announce the names of… https://t.co/WurEtJyKGX","#drkawana, minister of fisheries and marine resources, what’s the hold up now? please release announce the names of… ",FALSE,Positive
Highest ever number of new cases yesterday #coronavirus #covid19 #STAYatHOME https://t.co/oovQrvMviY,highest ever number of new cases yesterday #coronavirus #covid19 #stayathome ,FALSE,Positive
@eldiablo0786 @outercircles @RedMajid @A34SafetyAction @BrumLeader @elaina22475794 @CllrMajid @AKAsusangreen… https://t.co/AkiidjpCpe,@eldiablo0786 @outercircles @redmajid @a34safetyaction @brumleader @elaina22475794 @cllrmajid @akasusangreen… ,FALSE,Neutral
"@toadmeister Yes, evidence has increased. Plus early WHO guidance was due to the global PPE shortage - priority to… https://t.co/Emdvdhx9Nw","@toadmeister yes, evidence has increased. plus early who guidance was due to the global ppe shortage - priority to… ",FALSE,Negative
@bubbaprog 350 school employees exposed to #COVID19 in Manatee County schools over the summer https://t.co/GxiYb61ay0,@bubbaprog 350 school employees exposed to #covid19 in manatee county schools over the summer ,FALSE,Negative
@BenJamesPhotos Italy #BenPC  #LOCKDOWNPHOTOCHALLENGE #COVID19 https://t.co/27jyDBhbMc,@benjamesphotos italy #benpc  #lockdownphotochallenge #covid19 ,FALSE,Neutral
"Cum Check It Out. Ill DM You Nudes!
https://t.co/93MX6QIvAS
#onlyfansbabe #ihaveajoke #onlyfansgirl #alreadyvideo… https://t.co/VHgsyRMeiM",cum check it out. ill dm you nudes!  #onlyfansbabe #ihaveajoke #onlyfansgirl #alreadyvideo… ,FALSE,Negative
"If CM of Madhya Pradesh is tested positive for COVID, then Scindia should also be tested for #COVID19.","if cm of madhya pradesh is tested positive for covid, then scindia should also be tested for #covid19.",FALSE,Positive
Four mayors reflect on their evolving response to the coronavirus pandemic https://t.co/TMqFfkPjcC  👈 click the lin… https://t.co/ZmqzTU7Nsv,four mayors reflect on their evolving response to the coronavirus pandemic   👈 click the lin… ,TRUE,Neutral
"Bihar witnesses biggest single-day spike of 2,803 new #Covid19 cases

https://t.co/zTPksALE7T https://t.co/979SPKzt3w","bihar witnesses biggest single-day spike of 2,803 new #covid19 cases   ",FALSE,Neutral
